Date,I
01/10/2017,4.88
02/10/2017,4.890000000000001
03/10/2017,4.9
04/10/2017,4.15
05/10/2017,3.6100000000000003
06/10/2017,4.18
07/10/2017,4.39
08/10/2017,4.0
09/10/2017,3.6599999999999997
10/10/2017,4.75
11/10/2017,7.94
12/10/2017,6.76
13/10/2017,5.119999999999999
14/10/2017,5.0
15/10/2017,4.0600000000000005
16/10/2017,3.71
17/10/2017,4.57
18/10/2017,3.75
19/10/2017,2.8200000000000003
20/10/2017,3.04
21/10/2017,2.84
22/10/2017,1.7899999999999998
23/10/2017,3.16
24/10/2017,3.5599999999999996
25/10/2017,3.39
26/10/2017,2.13
27/10/2017,2.94
28/10/2017,3.1399999999999997
29/10/2017,1.18
30/10/2017,1.72
31/10/2017,3.0
01/11/2017,2.5700000000000003
02/11/2017,4.54
03/11/2017,2.19
04/11/2017,1.67
05/11/2017,2.21
06/11/2017,1.3199999999999998
07/11/2017,2.56
08/11/2017,1.58
09/11/2017,2.77
10/11/2017,2.13
11/11/2017,2.27
12/11/2017,2.4699999999999998
13/11/2017,1.95
14/11/2017,3.27
15/11/2017,0.55
16/11/2017,1.1
17/11/2017,0.5900000000000001
18/11/2017,2.7199999999999998
19/11/2017,0.62
20/11/2017,2.04
21/11/2017,1.87
22/11/2017,1.0
23/11/2017,0.65
24/11/2017,2.24
25/11/2017,1.55
26/11/2017,2.44
27/11/2017,2.97
28/11/2017,2.1100000000000003
29/11/2017,0.9400000000000001
30/11/2017,0.76
