Date,I
01/11/2012,6.22
02/11/2012,5.05
03/11/2012,5.39
04/11/2012,6.52
05/11/2012,4.59
06/11/2012,6.71
07/11/2012,5.93
08/11/2012,5.17
09/11/2012,5.4399999999999995
10/11/2012,5.82
11/11/2012,11.100000000000001
12/11/2012,14.2
13/11/2012,16.23
14/11/2012,15.669999999999998
15/11/2012,12.76
16/11/2012,12.52
17/11/2012,10.34
18/11/2012,8.36
19/11/2012,9.8
20/11/2012,10.32
21/11/2012,6.77
22/11/2012,9.01
23/11/2012,6.82
24/11/2012,5.77
25/11/2012,7.68
26/11/2012,4.98
27/11/2012,5.5
28/11/2012,6.08
29/11/2012,6.0600000000000005
30/11/2012,4.51
01/12/2012,5.63
02/12/2012,3.16
03/12/2012,5.930000000000001
04/12/2012,3.6900000000000004
05/12/2012,5.09
06/12/2012,4.890000000000001
07/12/2012,4.109999999999999
08/12/2012,2.76
09/12/2012,2.5
10/12/2012,4.34
11/12/2012,2.77
12/12/2012,3.09
13/12/2012,3.6500000000000004
14/12/2012,7.859999999999999
15/12/2012,8.629999999999999
16/12/2012,13.510000000000002
17/12/2012,13.75
18/12/2012,10.040000000000001
19/12/2012,7.88
20/12/2012,9.48
21/12/2012,5.62
22/12/2012,4.53
23/12/2012,7.27
24/12/2012,4.86
25/12/2012,3.87
26/12/2012,3.4699999999999998
27/12/2012,4.18
28/12/2012,4.94
29/12/2012,5.24
30/12/2012,3.7199999999999998
31/12/2012,1.31
