Date,demand
01/08/2019,13.487
02/08/2019,13.487
03/08/2019,13.487
04/08/2019,13.487
05/08/2019,13.487
06/08/2019,13.487
07/08/2019,13.487
08/08/2019,13.487
09/08/2019,13.487
10/08/2019,13.487
11/08/2019,13.487
12/08/2019,13.487
13/08/2019,13.487
14/08/2019,13.487
15/08/2019,13.487
16/08/2019,13.487
17/08/2019,13.487
18/08/2019,13.487
19/08/2019,13.487
20/08/2019,13.487
21/08/2019,13.487
22/08/2019,13.487
23/08/2019,13.487
24/08/2019,13.487
25/08/2019,13.487
26/08/2019,13.487
27/08/2019,13.487
28/08/2019,13.487
29/08/2019,13.487
30/08/2019,13.487
31/08/2019,13.487
01/09/2019,12.355
02/09/2019,12.355
03/09/2019,12.355
04/09/2019,12.355
05/09/2019,12.355
06/09/2019,12.355
07/09/2019,12.355
08/09/2019,12.355
09/09/2019,12.355
10/09/2019,12.355
11/09/2019,12.355
12/09/2019,12.355
13/09/2019,12.355
14/09/2019,12.355
15/09/2019,12.355
16/09/2019,12.355
17/09/2019,12.355
18/09/2019,12.355
19/09/2019,12.355
20/09/2019,12.355
21/09/2019,12.355
22/09/2019,12.355
23/09/2019,12.355
24/09/2019,12.355
25/09/2019,12.355
26/09/2019,12.355
27/09/2019,12.355
28/09/2019,12.355
29/09/2019,12.355
30/09/2019,12.355
