Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
01/05/2007,3.9138474562453727,3.8444211899960887,3.9416179627451005,3.899962202995516,3.972859782557292,3.882605636433195,3.9798024091822204,4.011044228994399,3.8617777565584097,4.024929482244255,3.802765430246491,4.02145816893179,3.78540886368417,3.754167043871992,4.1221262549932804,3.813179370183911,4.031872108869184,4.045757362119041,3.830535936746232,4.02145816893179,3.7611096704969205,3.972859782557292,3.9138474562453727,3.920790082870301,3.952031902682507
02/05/2007,7.631624013895305,7.576083000895878,7.732292099956794,7.6073248207080555,7.690636340207224,7.471943601521924,7.857259379205534,7.760062606456508,7.499714108021638,7.763533919768973,7.482357541459317,8.03082504482877,7.260193489461553,7.28449268264883,7.978755345141808,7.482357541459317,7.746177353206651,7.874615945767855,7.329619755710865,7.826017559393356,7.451115721647139,7.780890486331293,7.617738760645448,7.635095327207769,7.621210073957912
03/05/2007,10.373961530742603,10.373961530742603,10.651666595739794,10.408674663867245,10.505871436616271,10.297592637868364,10.641252655802402,10.48851487005395,10.537113256428448,10.533641943115985,10.231637684931544,11.189720159171856,9.891448980309969,9.849793220560398,11.050867626673261,10.252465564806329,10.467686990179152,10.800933068175784,9.881035040372577,10.714150235364151,10.28717869793097,10.745392055176342,10.360076277492746,10.460744363554223,10.283707384618507
04/05/2007,13.039930154715663,13.001745708278541,13.407889365836937,12.932319442029245,13.210024507026436,12.99133176834115,13.314163906400388,13.234323700213684,13.241266326838627,13.258622893400949,12.86636448909241,13.994541315643511,12.390794565284718,12.369966685409933,13.949414242581462,12.855950549155004,13.074643287840304,13.633524731147151,12.36649537209747,13.348877039525032,12.914962875466923,13.480786945398698,12.97050388846635,13.00868833490347,12.973975201778815
05/05/2007,15.778796358250483,15.70589877868872,15.830866057937445,15.723255345251028,16.1814687024964,15.639943825751887,15.948890710561269,15.858636564437173,16.025259603435483,15.81003817806266,14.94915247657136,16.88267399161432,15.025521369445599,14.956095103196287,16.639682059741784,15.285869867880455,15.709370092001185,16.629268119804376,14.605492458637334,16.02178829012302,15.310169061067718,16.299493355120223,15.709370092001185,15.58787412606491,15.212972288318694
06/05/2007,17.399899675171596,18.055977891227467,17.819928585979845,18.055977891227467,17.54222352098267,17.320059468984905,18.264256689975362,18.139289410726622,18.531547815035175,18.486420741973113,16.469587707430996,19.378548263276603,17.233276636173272,17.61512110054443,19.59724100196189,16.830604291927344,17.809514646042455,18.84743732646947,17.0631822838625,18.57667488809721,17.965723745103386,18.05944920453993,18.021264758102813,18.361453462724388,16.782005905552843
07/05/2007,20.017269912770143,20.225548711518034,19.600712315274354,19.267466237277723,20.26026184464269,20.104052745581775,20.9128687473861,20.04504041926987,20.524081656390024,20.319274170954596,18.521133875097767,20.666405502201084,20.56920872945206,18.87173651965672,21.17668855913342,18.27119931660029,19.815933740647175,21.332897658194348,18.34409689616205,20.22207739820557,20.78790146813736,20.215134771580644,19.47227372271315,19.98949940627043,18.53154781503516
08/05/2007,22.672824596805807,22.54091469093214,21.999389814187616,20.628221055763966,22.881103395553716,22.606869643868972,22.9019312754285,21.74945525569015,22.488844991245163,23.058140374489415,21.91260698137598,23.262947859924846,23.738517783732537,20.60739317588918,23.31501755961182,20.919811374011026,22.39859084512108,24.030108101979586,20.777487528199966,22.46107448474545,23.530238984984646,21.60713140987909,22.822091069241797,21.232229572132873,20.655991562263694
09/05/2007,24.91529299665815,25.31102271427915,24.113419621478755,24.300870540351863,25.376977667215986,24.87710855022103,26.16149447583306,24.26268609391474,24.2071450809153,24.037050728604527,24.436251759537996,25.31796534090408,26.616236519765955,22.506201557807483,25.45334656009021,23.512882418422322,25.248539074654783,27.175117963072815,23.58925131129655,24.738256017722435,26.873113704888375,23.64479232429599,25.08885866228139,23.863485062981276,23.821829303231706
10/05/2007,26.008756690084596,28.0568315444389,26.008756690084596,27.6819297066927,27.90062244537797,27.220245036134862,28.393548935747997,26.69260541264018,26.338531454768763,26.244805995332214,27.022380177324347,27.65415920019297,29.598094655173323,23.978038402292622,26.86617107826343,26.147609222583192,27.463236968007397,29.57726677529854,26.25869124858207,27.227187662759793,29.29261908367642,25.703281118587675,29.105168164803295,27.428523834882757,25.092329975593852
11/05/2007,28.48033176855963,31.146300392532687,28.157499630500375,30.747099361599222,29.601565968485787,29.504369195736775,31.958587707649464,28.08807336425109,28.24428246331201,28.209569330187367,29.428000302862536,30.33748439072835,31.403177577655082,25.154813615218234,30.37566883716547,28.490745708497023,28.476860455247166,32.760461082828876,29.150295237865357,30.629074708975413,30.62560339566295,27.997819218126995,32.250178025896524,28.84829097968089,28.650426120870403
12/05/2007,31.4899604104667,34.534302185498454,30.167390038417576,33.12494898063768,32.36126005189541,32.20157963952202,35.082769688867906,31.64616950952763,30.156976098480186,30.27500075110398,31.340693938030725,33.30892858619833,34.02401912856609,27.334798375446194,33.88169528275505,31.53855879684121,30.198631858229756,35.91588488385948,31.871804874837846,34.010133875316235,32.5591249107059,31.170599585719938,34.63497027155993,30.90330846066014,32.250178025896524
13/05/2007,34.08303145487801,37.40507829490693,32.5105265243314,35.207736968116635,36.30814328816802,33.76367063013124,38.13058277721211,34.0240191285661,32.88889967539008,33.23950231994903,32.222407519396796,36.259544901793504,37.040590397098114,30.08407851891842,36.28384409498077,34.756466237496205,32.14950993983505,38.758890486768244,34.659269464747176,36.14846287579462,35.66942163867448,33.708129617131796,37.50921769428088,32.53482571751864,35.23897878792882
14/05/2007,37.040590397098114,39.29694405020032,34.430162786124484,36.99546332403608,40.20295682475366,36.36368430116746,40.70282594174861,36.99893463734853,34.63149895824746,34.8050646238707,33.87128134281765,39.44273920932384,40.02939115913041,32.27100590577131,38.6547510873943,37.988258931401035,35.065413122305586,41.41791648411638,37.44673405465651,39.428853956073986,38.36663208245972,35.92977013710934,40.53273158943782,35.44378627336425,36.96769281753635
15/05/2007,40.015505905880545,41.709506802363435,37.08224615684769,38.85608725951727,44.503914018897696,38.79707493320536,42.56692119054227,39.3385998099499,37.7556809394659,37.60988578034235,35.67289295198693,42.73701554285306,41.95249873423597,33.5692770846332,41.5741255831773,39.85929680681963,38.47077148183366,43.542360231344915,39.74821478082076,40.11270267862957,41.53246982342773,38.74153392020592,43.69509801709337,38.34233288927247,40.761838268060515
