# cumulative inflow in ML
03/11/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/11/2014,701.8179920444846,732.6830313760332,451.20636000297253,465.2942441062614,315.1034116303523,522.9012849474262,633.6882226147512,1361.040961126918,304.189701096244,478.5993932863784,434.0919316469923,496.7471607268659,419.2980634080989,515.6865469261325,919.0051580599425,405.76284075116496,1268.1510839667903,2100.8895921516646,436.17206977343056,976.5671639621801,434.86197918757455,527.4980217697445,363.00997440431024,861.2225674982506,372.25562378969965
17/11/2014,1835.3865784815343,1975.411029762972,1107.7333216251607,1054.0865650702517,1567.1185199744941,2739.6442791941686,2221.4874307941254,2295.1661871785336,523.0183866805321,749.2496367219568,1292.61515231481,1835.3755252539947,1943.6375029398548,1832.1461589660325,2349.7226132976016,1604.5543483404065,2339.126677270762,2913.2020299762266,973.9124706643966,1731.4156484592916,787.1621120973598,1335.7014142148437,1677.3489238187087,1560.3441832340156,1387.3422171440552
24/11/2014,2483.72168721256,3202.064438911553,1621.468942412303,1434.3288724348033,3908.068696119885,3315.7081379351253,3313.426405422713,3858.103032948485,678.9451348844398,1012.5071365439779,1756.2445025680595,2976.4678203207586,2416.812556619582,3232.739946572182,3083.94703850191,3054.6167006946034,2955.6870901337325,3237.289450868867,1496.7744879101986,2064.953873277154,1393.080306114262,2617.609128749126,2229.2608591396715,2317.2886283338903,2418.057183387031
01/12/2014,2805.247894587489,4716.171880449217,2012.8240759825383,1656.8788697222099,4803.914878233467,3650.3289719264917,4828.750974162353,6168.694715771809,1751.191835522885,1306.261037448026,2077.141853359718,3456.3792251678005,2801.9073302214583,4161.657513460996,4728.646765793045,3737.200525553686,4038.633546219447,4512.480035741424,2753.9227799114783,2468.836052076717,2117.107252403354,3569.3369121149426,3092.515283194062,4338.298766593322,3269.6529516100227
08/12/2014,3136.148825922201,5781.807546713329,2266.081883718878,2031.9211104117728,6095.556024336946,3844.5071188502866,5227.797040743987,7262.377350806114,3561.634033419924,1575.1821662748214,2340.9641283994015,3886.577513483262,3397.4133715934345,5661.492442043253,5634.01295136314,4466.611858012013,6207.405373153174,5601.841236265195,3693.4696960123765,4350.324997441136,2619.035787332333,5549.072201464633,5270.26892384527,5610.1066822321,3938.1781531710644
15/12/2014,4296.420023132581,6386.914812276088,2663.3295969545725,3913.258488103557,7082.47423678383,4017.566364383774,5761.243944899753,7772.396118065738,5076.065664111609,2353.685460681195,3481.4481409455457,5102.0584104669815,3838.8692135528872,7906.82813339322,6742.011306034839,5162.0797270612575,6822.354527067441,6244.516359295881,4513.722782586553,5426.661378178763,3806.317403248016,6866.978374160691,7456.466464119301,7641.51395633799,4408.126928660547
22/12/2014,5156.2713203671965,6818.062785402198,3285.473344371941,4654.847439899326,8027.848967462775,4174.473681947543,6416.528503856552,9165.276987846297,7728.878765980523,3442.128372389987,4817.426669226631,6343.243194273377,4101.3276126873325,9804.981321341167,7654.446888329512,6954.185105150124,7699.774192214622,6980.896125704604,4951.905284530435,5946.946682200557,4416.448647014583,7439.136788161088,8219.575268707364,10629.346978630632,5294.115196606715
29/12/2014,5816.545646010952,7085.879079776907,4168.0807140876595,5177.510272730201,8934.880507450944,4736.5973157820645,6853.55284014667,11190.293134527132,9065.059799042008,3984.812161064536,6101.485515547312,8766.550466654719,5064.841296738905,10981.425049661208,8424.63978769676,8146.309492386318,9189.51330634278,7669.801410721691,5424.767734067488,6492.099110139228,4985.6622205290205,8442.54965458713,9438.30800035919,11911.185036737208,6674.677560356388
05/01/2015,6434.308354781089,7803.46874935651,5240.945512581691,6873.956646816546,9321.374228591278,5937.595462162948,7341.711172060464,11855.602660036866,9838.120364538017,4532.681723730016,8337.364841398157,10856.269580345794,6873.8271548872835,11736.3348172067,9316.154327916474,8608.344169756681,10290.340009188265,10268.670549864779,6203.482457940323,7640.219923428783,5467.070749348047,11029.814615886695,10073.158988671037,12711.044936945704,9304.853503706405
12/01/2015,7142.186410307644,8431.592373560576,5929.891688963941,8036.984138970122,9539.27903886281,7480.51275277029,7899.51953965768,12166.611767529088,10736.377077785617,4883.648788928309,9591.005892378624,12582.70280350285,7702.891876141966,12366.238255411417,11905.499449140012,9031.876216492377,11237.959442364521,11362.989583070457,6758.01714648884,8686.375903201513,5802.013758618253,12948.177136395378,11526.633145985372,13762.402181592905,10718.94157078363
19/01/2015,7617.679303693992,10051.169740532468,7427.820176051578,9041.178132638623,9725.141991265973,8157.70180096438,8616.094994445133,12630.383563892421,11671.318882354833,6247.313244416699,11250.763582889425,13553.89612259148,8528.477294230008,12889.48980342885,12937.478963945045,9316.673842821658,11718.805727259609,12930.419320154388,7734.448755579875,9094.226846038286,6208.464840902678,16078.218743949104,12805.146349912073,14300.18500677321,11994.896309410096
26/01/2015,7930.552837096299,10553.22896805936,8521.647732474565,10332.19755881687,10021.051461296263,8531.95683250604,9386.984582345496,13597.175036485267,12096.292982714649,7599.721964584389,12610.363389329163,13902.74030870656,9728.473063732994,13334.89707825472,13441.470896697658,9578.569030281955,12478.370680661008,13972.276516822469,8463.159455972856,9744.357507540502,6850.981468204344,16899.48019176812,13287.544899069137,15042.129493655395,13887.116156597756
