Date,demand
01/01/2020,11.459
02/01/2020,11.459
03/01/2020,11.459
04/01/2020,11.459
05/01/2020,11.459
06/01/2020,11.459
07/01/2020,11.459
08/01/2020,11.459
09/01/2020,11.459
10/01/2020,11.459
11/01/2020,11.459
12/01/2020,11.459
13/01/2020,11.459
14/01/2020,11.459
15/01/2020,11.459
16/01/2020,11.459
17/01/2020,11.459
18/01/2020,11.459
19/01/2020,11.459
20/01/2020,11.459
21/01/2020,11.459
22/01/2020,11.459
23/01/2020,11.459
24/01/2020,11.459
25/01/2020,11.459
26/01/2020,11.459
27/01/2020,11.459
28/01/2020,11.459
29/01/2020,11.459
30/01/2020,11.459
31/01/2020,11.459
01/02/2020,11.459
02/02/2020,11.459
03/02/2020,11.459
04/02/2020,11.459
05/02/2020,11.459
06/02/2020,11.459
07/02/2020,11.459
08/02/2020,11.459
09/02/2020,11.459
10/02/2020,11.459
11/02/2020,11.459
12/02/2020,11.459
13/02/2020,11.459
14/02/2020,11.459
15/02/2020,11.459
16/02/2020,11.459
17/02/2020,11.459
18/02/2020,11.459
19/02/2020,11.459
20/02/2020,11.459
21/02/2020,11.459
22/02/2020,11.459
23/02/2020,11.459
24/02/2020,11.459
25/02/2020,11.459
26/02/2020,11.459
27/02/2020,11.459
28/02/2020,11.459
29/02/2020,11.459
01/03/2020,11.494
02/03/2020,11.494
03/03/2020,11.494
04/03/2020,11.494
05/03/2020,11.494
06/03/2020,11.494
07/03/2020,11.494
08/03/2020,11.494
09/03/2020,11.494
10/03/2020,11.494
11/03/2020,11.494
12/03/2020,11.494
13/03/2020,11.494
14/03/2020,11.494
15/03/2020,11.494
16/03/2020,11.494
17/03/2020,11.494
18/03/2020,11.494
19/03/2020,11.494
20/03/2020,11.494
21/03/2020,11.494
22/03/2020,11.494
23/03/2020,11.494
24/03/2020,11.494
25/03/2020,11.494
26/03/2020,11.494
27/03/2020,11.494
28/03/2020,11.494
29/03/2020,11.494
30/03/2020,11.494
31/03/2020,11.494
01/04/2020,12.331999999999999
02/04/2020,12.331999999999999
03/04/2020,12.331999999999999
04/04/2020,12.331999999999999
05/04/2020,12.331999999999999
06/04/2020,12.331999999999999
07/04/2020,12.331999999999999
08/04/2020,12.331999999999999
09/04/2020,12.331999999999999
10/04/2020,12.331999999999999
11/04/2020,12.331999999999999
12/04/2020,12.331999999999999
13/04/2020,12.331999999999999
14/04/2020,12.331999999999999
15/04/2020,12.331999999999999
16/04/2020,12.331999999999999
17/04/2020,12.331999999999999
18/04/2020,12.331999999999999
19/04/2020,12.331999999999999
20/04/2020,12.331999999999999
21/04/2020,12.331999999999999
22/04/2020,12.331999999999999
23/04/2020,12.331999999999999
24/04/2020,12.331999999999999
25/04/2020,12.331999999999999
26/04/2020,12.331999999999999
27/04/2020,12.331999999999999
28/04/2020,12.331999999999999
29/04/2020,12.331999999999999
30/04/2020,12.331999999999999
