DATE	PET	Rainfall	Temp
01/10/1969	1.216796158	0.07812847	12.6
02/10/1969	0.865290763	0.07812847	12.6
03/10/1969	0.742263876	0	12.6
04/10/1969	1.067406365	0.321460857	12.6
05/10/1969	1.418911759	0	12.6
06/10/1969	0.926804207	0	12.6
07/10/1969	0.838927859	0	12.6
08/10/1969	1.401336489	0	12.6
09/10/1969	1.621027361	0	12.6
10/10/1969	1.506788108	0	12.6
11/10/1969	0.777414415	0	12.6
12/10/1969	0.654387527	0.780327925	12.6
13/10/1969	1.181645618	8.245342476	12.6
14/10/1969	1.339823046	0.611274379	12.6
15/10/1969	0.944379477	0.084284984	12.6
16/10/1969	1.032255826	0	12.6
17/10/1969	1.172857983	0	12.6
18/10/1969	1.111344539	0	12.6
19/10/1969	0.4962101	9.006842472	12.6
20/10/1969	0.988317651	0	12.6
21/10/1969	0.715900971	0.517577385	12.6
22/10/1969	0.566511178	0.261810455	12.6
23/10/1969	1.225583792	0.837345415	12.6
24/10/1969	1.260734332	2.657272531	12.6
25/10/1969	0.390758481	0.310362584	12.6
26/10/1969	0.838927859	0	12.6
27/10/1969	0.663175162	0	12.6
28/10/1969	0.78620205	0.023712918	12.6
29/10/1969	1.260734332	0	12.6
30/10/1969	0.838927859	0	12.6
31/10/1969	0.707113336	0	12.6
01/11/1969	0.830140224	0.427197891	5.8
02/11/1969	0.715900971	0.254474299	5.8
03/11/1969	1.638602631	4.809905711	5.8
04/11/1969	0.759839145	0.788348387	5.8
05/11/1969	0.78620205	0.729911383	5.8
06/11/1969	1.067406365	42.65959478	5.8
07/11/1969	1.067406365	5.815131339	5.8
08/11/1969	1.023468191	11.00191371	5.8
09/11/1969	0.584086448	11.82826346	5.8
10/11/1969	0.847715494	7.797103249	5.8
11/11/1969	0.294094498	19.86891413	5.8
12/11/1969	1.146495079	3.275816037	5.8
13/11/1969	0.874078398	6.718547824	5.8
14/11/1969	0.425909021	22.35516347	5.8
15/11/1969	0.970742382	3.73829181	5.8
16/11/1969	0.487422465	2.730071232	5.8
17/11/1969	0.935591842	5.405229155	5.8
18/11/1969	0.680750432	0.839765689	5.8
19/11/1969	0.408333751	1.173529521	5.8
20/11/1969	0.856503129	0.513424359	5.8
21/11/1969	0.355607942	3.571117061	5.8
22/11/1969	0.636812257	2.588530939	5.8
23/11/1969	0.636812257	0.10771863	5.8
24/11/1969	0.76862678	0	5.8
25/11/1969	0.75105151	0	5.8
26/11/1969	0.724688606	0.643567832	5.8
27/11/1969	0.522573004	1.736051754	5.8
28/11/1969	0.812564954	0.567478081	5.8
29/11/1969	0.733476241	0	5.8
30/11/1969	0.733476241	0.233175815	5.8
01/12/1969	0.294094498	1.819060213	3.8
02/12/1969	0.223793419	12.93247391	3.8
03/12/1969	0.329245037	0.946926238	3.8
04/12/1969	0.926804207	0	3.8
05/12/1969	0.918016573	1.504880354	3.8
06/12/1969	0.408333751	0.355695413	3.8
07/12/1969	0.663175162	0.442048859	3.8
08/12/1969	0.46105956	0	3.8
09/12/1969	0.346820307	0	3.8
10/12/1969	0.46105956	0.279129168	3.8
11/12/1969	0.179855245	3.674623747	3.8
12/12/1969	0.46105956	0.002529521	3.8
13/12/1969	0.759839145	19.95453883	3.8
14/12/1969	0.434696656	12.24478668	3.8
15/12/1969	0.961954747	1.15566994	3.8
16/12/1969	0.742263876	12.59954356	3.8
17/12/1969	0.390758481	5.488964706	3.8
18/12/1969	0.522573004	8.669247442	3.8
19/12/1969	0.417121386	6.191513711	3.8
20/12/1969	0.355607942	8.125304466	3.8
21/12/1969	0.206218149	15.91759803	3.8
22/12/1969	0.821352589	0.640211391	3.8
23/12/1969	0.346820307	2.305334496	3.8
24/12/1969	0.179855245	6.999956293	3.8
25/12/1969	0.513785369	0.099307837	3.8
26/12/1969	0.364395577	0	3.8
27/12/1969	0.566511178	0	3.8
28/12/1969	0.715900971	0.04866214	3.8
29/12/1969	0.733476241	1.686950902	3.8
30/12/1969	0.663175162	0.437087152	3.8
31/12/1969	0.759839145	0.239571715	3.8
01/01/1970	0.628024622	0.879500636	4.6
02/01/1970	0.320457403	1.500399452	4.6
03/01/1970	0.47863483	0	4.6
04/01/1970	0.592874083	0	4.6
05/01/1970	0.540148274	3.058022457	4.6
06/01/1970	0.531360639	0	4.6
07/01/1970	0.584086448	0.019158607	4.6
08/01/1970	0.408333751	11.09245516	4.6
09/01/1970	-0.549518448	10.2382566	4.6
10/01/1970	0.091978896	14.31412112	4.6
11/01/1970	-0.022260357	19.36453075	4.6
12/01/1970	0.671962797	4.187454371	4.6
13/01/1970	0.021677818	14.78032593	4.6
14/01/1970	0.443484291	23.24012743	4.6
15/01/1970	0.338032672	11.10386189	4.6
16/01/1970	0.540148274	0.572353038	4.6
17/01/1970	0.812564954	10.91340558	4.6
18/01/1970	0.522573004	1.520026588	4.6
19/01/1970	0.144704706	4.510654051	4.6
20/01/1970	0.250156324	1.071878321	4.6
21/01/1970	0.276519228	13.16697808	4.6
22/01/1970	0.575298813	9.579486722	4.6
23/01/1970	0.997105286	9.878670678	4.6
24/01/1970	0.759839145	8.675888687	4.6
25/01/1970	0.373183212	1.016797971	4.6
26/01/1970	0.513785369	0.276242687	4.6
27/01/1970	0.557723544	0.094515762	4.6
28/01/1970	0.504997734	7.034118717	4.6
29/01/1970	0.267731593	19.84460759	4.6
30/01/1970	0.777414415	0.830448577	4.6
31/01/1970	0.76862678	11.84895148	4.6
01/02/1970	1.09376927	11.19497207	3.4
02/02/1970	1.436487029	14.56358895	3.4
